Faixa de idade,Impressões,Porcentagem do total conhecido
18 a 24,1.772,"2,87%"
25 a 34,11.190,"18,14%"
35 a 44,17.217,"27,92%"
45 a 54,17.099,"27,72%"
55 a 64,11.924,"19,33%"
+65,2.834,"4,59%"
