Hora de início,Impressões
00,1.256
01,705
02,349
03,235
04,183
05,243
06,3.187
07,4.215
08,4.384
09,5.573
10,6.131
11,6.011
12,6.060
13,5.932
14,5.930
15,6.077
16,5.938
17,6.747
18,7.058
19,7.820
20,8.374
21,7.985
22,6.755
23,3.424
