Rede,Cliques,Custo,CPC méd.
Pesquisa do Google,935,"R$ 1.561,63","R$ 1,67"
Parceiros de pesquisa,803,"R$ 200,39","R$ 0,25"
Várias redes,862,"R$ 236,95","R$ 0,27"
