Sexo,Faixa de idade,Impressões,Porcentagem do total conhecido
Masculino,18 a 24,1.503,"2,44%"
Masculino,25 a 34,9.895,"16,04%"
Masculino,35 a 44,15.595,"25,29%"
Masculino,45 a 54,15.883,"25,75%"
Masculino,55 a 64,11.222,"18,20%"
Masculino,+65,2.640,"4,28%"
Feminino,18 a 24,260,"0,42%"
Feminino,25 a 34,1.252,"2,03%"
Feminino,35 a 44,1.518,"2,46%"
Feminino,45 a 54,1.127,"1,83%"
Feminino,55 a 64,610,"0,99%"
Feminino,+65,171,"0,28%"
